feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,label
0.335922778,0.664015055,7.42E-07,0.437237799,0.671309948,-0.019257996,0.558170557,0.616575301,-0.04861882,0.66472739,0.583621383,-0.084043011,0.735371113,0.526857615,-0.115156949,0.458949149,0.376196712,-0.026699796,0.611677289,0.317290038,-0.085350081,0.703208566,0.370171368,-0.125069425,0.739162922,0.437178135,-0.141556114,0.431040734,0.354897529,-0.045384429,0.624535978,0.284355849,-0.097781971,0.724171519,0.353481144,-0.123973586,0.755566001,0.433651656,-0.133246779,0.42123419,0.361319274,-0.069793671,0.61349225,0.290983498,-0.114621013,0.716467619,0.355924696,-0.123415969,0.748638391,0.431447983,-0.120255411,0.423188001,0.395837486,-0.096452966,0.582118392,0.34704715,-0.132371545,0.679125488,0.378605932,-0.138055548,0.725878239,0.424314976,-0.1345274,O
0.291741729,0.809877515,7.78E-07,0.482898623,0.722680449,0.02384126,0.612131476,0.619274259,0.000818215,0.734665513,0.546226621,-0.04729259,0.728047371,0.486398369,-0.089406818,0.353057563,0.376405865,0.057465598,0.512102783,0.256670028,-0.010386889,0.657754719,0.319516033,-0.073586829,0.724328935,0.400892347,-0.108839877,0.309668779,0.371702522,5.30E-05,0.504172385,0.21955511,-0.066507787,0.669192135,0.29906255,-0.112178147,0.740227282,0.392262995,-0.131439745,0.302897722,0.389037251,-0.06429407,0.492177725,0.234168723,-0.121465638,0.654672623,0.305847496,-0.132520258,0.722517252,0.396250188,-0.126959667,0.333538651,0.439021081,-0.130902395,0.512093186,0.3475416,-0.170571521,0.636494339,0.38174516,-0.169993564,0.699077845,0.442361683,-0.160989419,O
0.40805155,0.463932157,2.02E-09,0.491672426,0.431736529,0.014051428,0.553076565,0.365872741,0.00231031,0.608703256,0.316110194,-0.021510743,0.58743757,0.283385694,-0.041279029,0.424809873,0.205625117,0.019589342,0.493644625,0.11561887,-0.016420372,0.565437555,0.161777258,-0.046103809,0.581122994,0.218222052,-0.059004333,0.407197535,0.208301157,-0.010519077,0.490444005,0.110319197,-0.034727048,0.568476379,0.168299943,-0.048080921,0.582843959,0.228149876,-0.051871996,0.405898511,0.224412993,-0.043617904,0.494159967,0.13444826,-0.067146398,0.56702584,0.185635149,-0.06024985,0.580703259,0.240467101,-0.048850108,0.421034306,0.256055295,-0.077154376,0.500792146,0.183225632,-0.092703156,0.558487892,0.210063264,-0.079178005,0.573281109,0.255141497,-0.064117819,O
0.59629786,0.315205067,3.42E-07,0.684018731,0.284352094,0.000674753,0.756812572,0.230445564,-0.013731412,0.822241962,0.199533284,-0.035676569,0.864101171,0.167622477,-0.054115895,0.637435198,0.096171133,-0.001891076,0.723209321,0.043065272,-0.041793376,0.793539762,0.07105042,-0.07427527,0.830818653,0.114326537,-0.091330536,0.61131984,0.09971948,-0.022754665,0.721533358,0.041464128,-0.060861722,0.798022389,0.074436285,-0.084250048,0.833671391,0.121484861,-0.095025338,0.603989422,0.117619403,-0.046457425,0.710184515,0.063301392,-0.078385532,0.784847438,0.092429258,-0.085967377,0.821490169,0.13374868,-0.085054331,0.614978433,0.150839537,-0.071115196,0.706089854,0.113292292,-0.091790669,0.765335977,0.1245142,-0.092434883,0.800775349,0.150126249,-0.088526666,O
0.516920865,0.823925018,1.17E-06,0.663550079,0.672787189,0.007995898,0.71061945,0.53328979,-0.02388145,0.771874905,0.441381872,-0.076678738,0.797001243,0.372477561,-0.123273797,0.322078735,0.397497565,0.012855455,0.454300463,0.212649316,-0.079645768,0.610206366,0.207030982,-0.155573234,0.713783622,0.262856841,-0.193852097,0.279307187,0.415187091,-0.0377069,0.4368065,0.191446915,-0.120499767,0.611074984,0.195652544,-0.172463655,0.71771419,0.255654156,-0.19462505,0.293463707,0.445195466,-0.095363975,0.440425217,0.215609714,-0.1679627,0.613453269,0.217140183,-0.185871869,0.716142297,0.273391187,-0.182286888,0.36391443,0.490233898,-0.154442281,0.521504104,0.324259996,-0.204246342,0.654275894,0.307129681,-0.20462732,0.739232302,0.333721966,-0.193560794,O
0.311048836,0.667400599,1.25E-06,0.430223942,0.668250084,-0.017124133,0.557822108,0.612789392,-0.043264832,0.669293284,0.581999183,-0.076575033,0.734637618,0.511530995,-0.106232665,0.457328528,0.381044537,-0.019831577,0.61361748,0.3261002,-0.075328022,0.709804714,0.382433236,-0.115334086,0.752677739,0.455969781,-0.13340047,0.424191087,0.363168359,-0.039728869,0.609138072,0.295284331,-0.089247428,0.714343607,0.355401605,-0.116511822,0.751346052,0.437097579,-0.128030449,0.411054134,0.372382611,-0.065311596,0.591234267,0.303311408,-0.098894067,0.698123634,0.357154906,-0.103883065,0.738471031,0.426988423,-0.101227865,0.416183054,0.407837987,-0.094683141,0.561038315,0.348411232,-0.118067235,0.655126989,0.364666075,-0.118981361,0.702184021,0.400305778,-0.114399657,O
0.476809025,0.596037388,6.23E-07,0.461593628,0.528466225,-0.049421977,0.426454186,0.470047385,-0.080928452,0.402521729,0.42951858,-0.107968196,0.391715169,0.397464812,-0.137460545,0.347561449,0.492673546,-0.079944216,0.27759847,0.48216632,-0.116668403,0.231183842,0.482794553,-0.141761646,0.190956086,0.486058533,-0.159545437,0.330920964,0.553754449,-0.075650506,0.252819151,0.555320621,-0.106749609,0.201757342,0.564493358,-0.127133295,0.154508621,0.572497189,-0.144006118,0.334457368,0.611252606,-0.074278332,0.264098465,0.617088854,-0.099982455,0.216319263,0.624481201,-0.114846207,0.17296657,0.629375219,-0.126909882,0.351916283,0.664877772,-0.07689888,0.299290717,0.678716183,-0.09880393,0.262105286,0.688837051,-0.109369099,0.224918991,0.695119977,-0.117896967,you
0.565033853,0.550968766,2.46E-07,0.555355728,0.487580359,-0.027921941,0.567460954,0.41569525,-0.043674774,0.577151179,0.361053795,-0.056102615,0.575314105,0.310516536,-0.069314741,0.597847462,0.451577157,-0.054634236,0.625449777,0.423223406,-0.087145664,0.644760072,0.412618816,-0.109126158,0.66073066,0.400687516,-0.125251189,0.608145297,0.488046795,-0.05925677,0.636162281,0.464638442,-0.088982292,0.655260801,0.452269405,-0.104447864,0.670197606,0.442299366,-0.117829323,0.610569298,0.529972672,-0.066344589,0.63205266,0.516126573,-0.098955743,0.652647793,0.504084349,-0.108173892,0.670982063,0.492474169,-0.114755236,0.603851259,0.569765985,-0.075012803,0.627409041,0.565396547,-0.106342167,0.640895188,0.5601933,-0.114271745,0.655610025,0.553822279,-0.11974749,you
0.422253698,0.544935584,3.45E-08,0.43750158,0.480795979,-0.030186253,0.429819107,0.412564218,-0.050132774,0.423556358,0.359175384,-0.065802179,0.418338478,0.310558349,-0.083322786,0.399223864,0.450777382,-0.068099312,0.372644931,0.424765199,-0.102701142,0.354802221,0.41344291,-0.125879049,0.338806003,0.400786638,-0.142930433,0.388076812,0.485840917,-0.071756467,0.359481663,0.466250688,-0.104643464,0.341396093,0.453542769,-0.122850277,0.325126797,0.4431611,-0.139589339,0.385242164,0.52560395,-0.076936677,0.361885726,0.515298426,-0.108367182,0.346527189,0.504354358,-0.117148601,0.331363201,0.489936829,-0.125771031,0.388926417,0.564110279,-0.084275179,0.371053785,0.563903034,-0.112617895,0.358688176,0.560297847,-0.121353179,0.344696403,0.553872347,-0.12940453,you
0.423670053,0.583486199,6.89E-08,0.424102843,0.504147768,-0.037603863,0.397545516,0.428707778,-0.062950939,0.37927112,0.370331764,-0.083071806,0.361133128,0.314986646,-0.105317786,0.369778097,0.486681521,-0.084716611,0.329964042,0.465912014,-0.127391875,0.30654192,0.458065987,-0.156652659,0.288789332,0.451606184,-0.177691087,0.364219785,0.532404602,-0.088045433,0.326098025,0.521416485,-0.127952904,0.303115398,0.512096584,-0.152404115,0.285208106,0.506282508,-0.175111413,0.370899945,0.580036104,-0.09302146,0.341724753,0.574753821,-0.130978733,0.322138548,0.566155016,-0.145630628,0.304302573,0.556959152,-0.159345642,0.385741293,0.623666883,-0.100447133,0.366269976,0.627404094,-0.13485375,0.349728465,0.625674009,-0.149005875,0.331504077,0.623417974,-0.161865145,you
